January,February,March,April,May,June,July,August,September,October,November,December
0.206441,0.0267024,0.0277723,0.0183714,0.101771,0.103505,0.129653,0.0136204,0.068036,0.00472875,0.147875,0.00103599
0.0157074,0.0980601,0.0693711,0.00235836,0.0681684,0.00407063,0.0708478,0.143554,0.00318055,0.0018286,0.111205,0.0309849
0.0308431,0.04182,0.114671,0.200836,0.0105016,0.171494,0.13719,0.223053,0.0848924,0.0285407,0.227417,0.101826
0.222045,0.0808575,0.0173923,0.204215,0.488304,0.00586027,0.191571,0.0199937,1.01821,0.102973,0.000715386,0.00872987
0.0293017,0.0737535,0.0493083,0.00147535,0.000939668,0.065038,0.106128,0.00451898,0.131388,0.104886,0.0273289,0.128815
0.00260691,0.134586,0.0115762,0.122001,0.101312,0.0115166,0.00534897,0.0268307,0.245888,0.000516627,0.00412397,0.0576327
0.00349598,0.00409223,0.000213116,0.0242181,0.0370734,0.168318,0.0875507,0.45974,0.241248,0.032144,0.0537894,0.0160809
0.178525,0.000741674,0.154559,0.117311,0.0362159,0.00133219,0.0123689,0.149356,0.0536912,0.0241515,0.000311244,0.0350553
0.131182,0.130151,0.0465359,0.053385,0.0335393,0.110274,0.141577,0.187193,0.0326476,0.00172051,0.00118583,0.103077
0.041743,0.163606,0.19487,0.14386,0.00120944,0.0281529,0.100326,0.0547497,0.112122,0.0412584,0.139468,0.00290383
0.145411,0.0925994,0.0538742,0.173091,0.000952279,0.0022363,0.00393361,0.110743,0.214969,0.139856,0.00472692,0.13889
0.133909,0.0524936,0.0502635,0.136082,0.00165877,0.0132323,0.126967,0.108592,0.208741,0.00257797,0.044034,0.00160466
0.207278,0.000934432,0.0492435,0.0960396,0.0698534,0.0887704,0.0332175,0.22852,0.018494,0.21564,7.06E-02,0.00375489
0.889854,0.06963,0.0612531,0.0514533,0.135863,0.02932,0.1344,0.0959089,0.00699478,0.115081,0.114028,0.134166
0.00778886,0.138498,0.00726701,0.500144,0.0303825,1.35599,0.00842878,0.110835,0.0494733,0.108876,0.0943734,0.121358
0.119945,0.0850787,0.0526989,0.128318,0.0984083,0.0211863,0.561453,0.0604594,0.142292,0.0792627,0.00410883,0.00223456
0.117689,0.193675,0.0176678,0.0668154,0.0313295,0.127353,0.0307538,0.109052,0.0187341,0.0884541,0.168155,0.00422081
0.00211125,0.140006,0.00715392,0.0131098,0.130159,0.0222771,0.0120506,0.142229,0.215223,0.101733,0.00060426,0.0871456
0.0306931,0.0379411,0.115409,0.00815598,0.130544,0.323851,0.0236111,0.0273136,0.0503454,0.128931,0.192733,0.00690222
0.0264459,0.0369015,0.0514585,0.00230718,0.00176336,0.0123559,0.00883178,0.106404,0.147837,0.115594,0.00470606,0.107581
0.0402011,0.0967848,0.117126,0.0014119,0.690712,0.0411353,0.0744029,0.138234,0.113536,0.0723854,0.0864607,0.134516
0.264262,0.0464611,0.0932519,0.621626,0.117346,0.0103293,0.0390643,0.0532882,0.205255,0.078039,0.00747368,0.102172
0.245951,0.0286741,0.142578,0.00139922,0.110426,0.0187111,0.0329209,0.197712,0.127444,0.0476615,0.000372766,0.000778084
0.0907624,0.133455,0.0133074,0.0849059,0.0601605,0.0885739,0.0239766,0.142343,0.15217,0.00345075,0.036807,0.115596
0.121436,0.172592,0.0030813,0.0786362,0.14509,0.200722,0.0541359,0.0415698,0.151963,0.0194023,0.0571624,0.10325
0.0727994,0.0411915,0.143531,0.145016,0.035906,0.0696747,0.00603554,0.0735144,0.124529,0.0434882,0.0322707,0.0322573
0.0857115,0.145249,0.000481724,0.00159191,0.069472,0.244463,0.0556144,0.0670406,0.0147715,0.00125961,0.0850084,0.00171698
0.00349885,0.161472,0.00305882,0.0357511,0.0132789,0.0529902,0.0279892,0.120677,0.0214436,0.00318382,0.127975,0.0296504
0.0282578,0.00296465,0.055716,0.641463,0.0192979,0.1239,0.12166,0.0970557,0.770166,0.174118,0.253386,0.0966668
0.131968,0.0182802,0.0672571,0.00113884,0.115038,0.134513,0.109041,0.106302,0.172909,0.792964,0.125346,0.00431558
0.0122228,0.0983946,0.160627,0.0882629,0.0909134,0.00348582,0.0689457,0.0353224,0.0174732,0.0994841,0.155037,0.441432
0.0908926,0.708072,0.00320338,0.000966379,0.0616606,0.0248079,0.108653,0.105919,0.677882,0.00395744,0.20371,0.112942
0.000966097,0.00286193,0.00349561,0.0232772,0.089537,0.0535554,0.119847,0.0490627,0.139506,0.156487,0.125613,0.0405007
0.0011789,0.00859721,0.000954541,0.240466,0.143667,0.044313,0.136109,0.0295055,0.187089,0.00512024,9.76E-02,0.0749939
0.000383277,0.0305265,0.00833432,0.0750352,0.0575737,0.067403,0.00353322,0.0628823,0.0540771,0.0335545,0.00655146,0.450771
0.0371698,0.0475302,0.00502853,0.0240179,0.135785,0.134418,0.193979,0.000529458,0.00156332,0.00043722,0.022122,0.704187
0.135226,0.131673,0.00721422,0.121997,0.00158826,0.15414,0.00662396,0.115199,0.0604829,0.00107682,0.117013,0.252703
0.0418022,0.0988971,0.217197,0.192779,0.00631021,0.0578958,0.0432987,0.164476,0.0133066,0.125418,0.00117593,0.0003309
0.0497416,0.0757654,0.000584561,0.0963778,0.00870565,0.132355,0.207228,0.0914003,0.0827266,0.0666259,0.145327,0.0612402
