"","October","November","December","January","February","March","April","May","June","July","August","September"
"8027",154721.146559684,147013.695511248,117082.057461817,103868.321251889,45822.6989491859,189435.076712337,109769.430579693,290881.077058572,158295.841250334,311114.142158588,125220.278838019,146080.332013951
"8028",108744.40111428,81011.8523641329,57972.0656636641,68881.4982102914,114337.831370226,59736.5261002669,63273.7512050717,93709.599762679,95412.6582209136,159242.539844444,148067.576081139,101248.543326313
"8029",598589.907240947,458570.66640254,238273.603625745,719324.03336262,496884.036823219,949152.978628942,498363.080978959,348505.814176454,356597.122664434,174698.926049495,233039.062669337,471573.512402665
"8030",932372.775272663,1272840.6634771,770750.335721762,771103.372298065,897975.116186314,905063.304539059,953946.851375946,1277825.40508989,902150.537118396,651299.010622011,753875.561978202,901056.551158628
"8031",911701.219492842,1359943.84310904,1100290.11456499,780926.823972939,849208.100018016,906015.165461586,866660.953897241,1356441.59017454,908432.266265583,1256568.14261224,1181814.78962064,989924.770478527
"8032",1151040.50029869,901597.490594018,804289.69553599,1256278.08138761,1089369.88284038,888008.390805393,1202596.28657385,910521.679560436,1173823.09332219,1049931.80836876,897497.48155618,978625.79264769
"8033",760036.315846754,810013.30204049,581157.519121332,924416.29276728,773696.291409803,475374.196431133,755375.229400324,836556.848886106,877252.182716007,743668.070223821,990008.210894267,1105231.01307197
"8034",402710.583326295,340283.419608855,573833.371812381,363983.734468806,366094.046263412,608791.632627847,379879.196332725,513294.385201212,446887.134948099,377504.226462432,435952.02439829,556342.505903878
"8035",339601.538640097,321712.768637334,219842.451475013,298399.098834688,401612.476078736,328088.811114272,280146.59539911,345993.015256185,214760.43212326,296163.1731927,363937.195437952,351723.965445203
"8036",212234.330826057,220946.877625364,242720.979207592,267905.689967511,195904.65563674,111320.173122574,171393.058407197,165505.98745834,189308.313247247,125831.933082123,165578.048412414,177889.93409754
"8037",208948.874204944,107999.27466337,221124.31786156,113540.10935589,78947.3968590757,147665.888187011,122948.363597958,102967.936144544,164308.318657122,158093.800627852,119311.842123395,124497.971905249
"8038",62788.368899784,49751.2196359923,124650.836910738,92212.5781119122,83326.7864036415,85693.6382317926,56333.0306972977,64290.8029247657,103979.492241714,71663.4268506492,154620.753541726,98867.7615630339
"8039",114087.39499174,48132.5440516849,67757.343747535,71420.9043350607,236408.677433265,135460.272143362,50606.8374627756,64158.8585772753,152610.125269578,338518.668559846,130228.151308184,71866.3890646179
"8040",64749.5702911855,85175.5724833747,88692.1330268032,77928.6782754462,116354.843750664,92365.8866300724,94501.0290320791,59491.8099565988,208466.969706732,62446.4288759707,109090.027207318,78014.7346248676
"8041",371487.475212924,650597.267185651,391709.286093927,403162.478951334,298002.194555196,259260.530242865,552928.345122175,451087.571311014,589055.249233935,155681.713284341,367631.255388412,238997.489771006
"8042",1023108.32710348,804693.746545643,764295.263244753,1155942.9653089,1026326.72554413,1077716.17519893,726204.981536339,1015714.4315946,796756.657383551,1166806.89677268,839282.001647123,963309.59893054
"8043",795346.38287181,1154927.99278893,1027634.33709584,1008894.45778261,889003.311263671,807602.952003531,1236268.82853332,1006429.02023947,1176827.04334622,946190.688886971,1049829.3988427,688907.228991798
"8044",912591.467259335,977907.510391541,1130717.38214519,1234576.69482725,944232.224818594,1141629.06427294,941075.782381181,1010257.28016595,967106.01935051,1008396.1391637,948387.543233601,934333.830558076
"8045",691323.71886318,622258.394307785,930251.415988527,594273.823267023,870320.905096001,658328.026221064,698432.368671436,772231.852883582,533865.452397695,680880.87913753,684606.69277219,728619.84574338
"8046",449539.314953765,426164.302694821,394070.448225676,462369.85094693,542104.294008646,298787.823537289,341242.206065927,436273.593991317,383461.01794203,329695.719983161,322317.049855337,500773.434153476
